Kategorie;Funktion;Produkt;Kurzbeschreibung;Synonyme;Beschreibung;ORBIS U Technologie?;ORBIS U Spezifkation;Orbis U Docker Compose;Service Names;OAS Technologie?;OAS Spezifikation;JAIF Technologie?;ORBIS Mobile Technologie?;Bemerkung;Notwendige Drittprodukte;Produkt Ansprechpartner;Applikations-Support Dedalus;Technische Spezifikation;Kurzfunktions-beschreibung;AMS SIP RfC;Lizenz;Released for Sale;Released for Delivery;PL-Leitfaden;ORBIS Roadmap;History;Geändert am
ORBIS;ORBIS Medication Schnittstelle Zytostatika Managementsystem;Medication;;;"Anbindung ORBIS Medication an Zytostatika Managementsysteme
Aktuell auf dem Markt befindliche Produkte: Meona Zenzy oder BD Cato";Nein;;;;Ja;single-without-medication-batch;Ja;Nein;"IRIS Technologie!
Mehrphasiges Pilotprojekt";;Martin Schmidt;Nein;;;;MED-PRESC-IN-OMP 18350, ORME_3RDPARTY_DISPL 18332;Nein;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1161457\u0026session=14068159173354\u0026cs=3YaEZtFP2_vN-0BM7-G60K76TpzrFXQTqv0kLIVEXNnSmaPjyCCPoG67_gm9setslmEzHomOro_s1WpuYZFpQqQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:39
ICAS;Portal-Manager;PatientXCare;Portal-Manager;;"Der Portalmanager braucht immer auch den Docker 
- Security";Ja;application-frame/ CustInst.: Nein<br>portal-manager/ CustInst.: Nein<br>security/ CustInst.: Nein;docker-compose-portal-manager.yml / docker-compose-application.-frameyml;application-frame/ CustInst.: Nein<br>portal-manager/ CustInst.: Nein<br>security/ CustInst.: Nein;Nein;	Standard;Nein;Ja;"Optionaler Einsatz des ClamAV AntiVirus Scanner -> Container ""clamav"" - docker-compose-clamav.yml     
Siehe: https://confluence.dedalus.com/pages/viewpage.action?spaceKey=Architecture&title=Antivirus+scanner+in+ORBIS+U";;;Nein;;;;;Nein;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1310704\u0026session=14068159173354\u0026cs=3gvG1GM6Lhy8Sx3E0hLoZXflb8Vr-uUMKLZTqAWJAArj4AWqR5ClIcF0DUm5tzaRGKpaX8-wbEFECJqS0JkPv6A\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:39
ORBIS;AGKA Med;ERP;AGKAMED;;Nachfolger der GFK Mawi Schnittstelle;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;;Anne Koster;Nein;;;Kein RfC;;Nein;Nein;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392065\u0026session=14068159173354\u0026cs=3tLl5KitsjMk-JDdpZ3h30CRjTwqUf5RE-IabVVBeta2WBAGpnAunSfdlex2DlGWKbh8hGr6lVhNSFRBb4c8fag\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:39
ORBIS;Experter;Experter;Experter;;;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;;Thomas Bartosch;Nein;;;20160804-0002-003726;;Ja;Ja;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392093\u0026session=14068159173354\u0026cs=3gQPg-o9D5NSIj8Ed8fXUKwnYrLMSeRpopDhG0jJTwU2RD9faoG6KEvgyEIg3nJDVju-9jDYgaSvgkfvD8o1ReA\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:44
ORBIS;ORBIS FHIR;Technische Komponente;FHIR;;Kein Verkaufsprodukt, sondern technische Komponente;Nein;;;;Ja;fhir-back-end<br>fhir;Nein;Nein;zwei dedizierte Multi-OAS notwendig;;Marc Robberecht;Nein;"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=78911048"""" target=""_blank"">78911048 </a>";;Kein RfC;;Nein;Ja;;Nein;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392094\u0026session=14068159173354\u0026cs=3cclCQ2p4jXRcm5w3XVEqIsMcBUUUs8W70chWxXH7rxIHbZNf2h5o8sSrH2GYkQFyjYrtenzcyt4gHMCWU_x9NQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:40
ORBIS;Fluidmanagement;Medication;Fluidmanagement (in Kombination mit ORME);FM Fluidmanagement für ORBIS ICU-Manager, ORBIS Anesthesia bzw. ORBIS Medication, PTC;"Anbindung von Infusions- und Spritzenpumpen an ORBIS ICU-Manager, ORBIS Anesthasia In Verbindung mit ORBIS Medication. 
Zusätzlich ORBIS CRID zum Barcodescan erforderlich. Integration in Patientenkurve";Nein;;;;Ja;fluidmanagement;Nein;Nein;;;Thomas Schwan;Nein;;"<a href=""https://livelink.agfa.net/Livelink/livelink.exe?func=ll&objaction=overview&objid=60892730"""" target=""_blank"">60892730 </a>";20181010-0002-005062;"FM_PUMP_ORME: Fluidmanagement for ORBIS Medication (18905)
FM_PUMP_ICU: ICU Fluidmanagement (18907)
FM_PUMP_AIMS: Fluidmanagement ORBIS Anesthesia (18906)";Ja;Ja;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392095\u0026session=14068159173354\u0026cs=3iPEoqxz_TCJ_XFgs-hWIUsLHzPV2SmtXllRjMdPtZTYcw8G-cjX6ERooiFe34sqgo0qIH5luRQMam6bLb4so9w\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 03:14
ORBIS;ORBIS Hochpreismedikamente;Medication;HED;High Expensive Drugs;Leitet Wirkstoffmengen für Zusatzentgelte und NUBs für hochpreisige Medikamente zur Übergabe in den ORBIS Mengenkalkulator ab;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;;Andreas Seewald;Nein;;DOC-2946564;Kein RfC;HED 9357;Ja;Ja;;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392096\u0026session=14068159173354\u0026cs=3xicmyx9i3mIc7WhkEPXVeOUxWJL6Bcg1SxpZbIVjBE5bcOj_1a5bhsc-olV1GNT7yCm3IktWaBXcMJXQW_Fd-g\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";03.03.2026 03:06
ORBIS;ORBIS Info4U;Mobile;Info4U (INFO4U-BASE);Smartphone-Lösung, Info4U Basis;Smartphone und Tablet App mit Push-Nachrichten aus ORBIS Patientendaten (für Termine und gewünschte Formulare + Laborwerte von Patienten) für Apple iOS und Android.;Ja;orbis-4u/ CustInst.: Nein<br>info4u/ CustInst.: Nein;docker-compose-info4u.yml;info4u/ CustInst.: Nein;Nein;single-without-medication-batch;Nein;Nein;"für Apple iOS auf iPhone und iPad (App) -> MDM notwendig
seit Feb 2025 Freigabe Android-basierter Smartphones (App)(Testung unter Samsung, ASCOM und Zebra)
OAS notwendig, wenn DMS oder MAWI angebunden werden!
Chronoserver für PDF-Generierung Pdf-on-the-fly notwendig (NSSM Betrieb nmöglich). 
DMS/MAWI: Basis-OAS, Medication OAS notwendig,
Anbindung Nuance ORBIS Speech DIC Diktat, und für PACS XERO Viewer und DeepUnity Viewer vorhanden";;Franziska Faust, Mark Thome;Nein;;"<a href=""https://dedalus.interfacing.com/documents/details/E71CC6D8-8AC2-433A-9B67-599607B60005?nodeType=DOCUMENT"""" target=""_blank"">E71CC6D8-8AC2-433A-9B67-599607B60005 </a>";20190214-0000002-0000023;"INFO4U-BASE: Info4U - Base Function  (9460)
DMS-INFO4U: Documentmanagement for Info4U (9461)";Ja;Ja;Ja;Ja;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392099\u0026session=14068159173354\u0026cs=3Yyp6kPQlAb8giAKFDGy03a4l8A2Y1zMNrCbp53XoqYyR8lu-e97Hb-O_cu2pQv1g7jb4WEoaHdPQIlzxPFzTkQ\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";24.02.2026 10:42
ORBIS;ORBIS Logistic;ERP;MawiCE NG. ORBIS MawiScanner, ERP-Connect;;Mawi Scan (MC3x00 bzw. zukünftig Zebra Android Scanner MC3300, TC52 und TC52-HC);Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;;Anne Koster;Nein;;;Kein RfC;;Nein;Nein;;;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392101\u0026session=14068159173354\u0026cs=3AioTQgAqKCTXytDWFWEX-5ECB2KNQaaOAaxyqZLOTEd9b3xsK08I0nBC7ByGWYoTo70B4R-qwrRPyMLrC8Xjsg\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";21.01.2026 15:16
ORBIS;ORBIS MAWI securPharm;ERP;securPharm;;Erweiterung der ORBIS Materialwirtschaft um eine neue Funktionalität zur Überprüfung der Echtheit von Arzneimitteln in Deutschland.;Nein;;;;Ja;single-without-medication-batch;Nein;Nein;;;Anne Koster;Nein;;;20180323-0002-004748;;Ja;Ja;;;"<a href=""javascript:apex.theme42.dialog('\u002Fords\u002Fr\u002Fcmdb\u002Fpmone\u002Fhistorie?p18_id=1392102\u0026session=14068159173354\u0026cs=3FDzWAqeM6Q87drXfPmGcbRqUOiBGVIIq63Ks1ste1mZdesQV2Khsjcba8ZZZ5cX_Tc51FcLGw4AavXT_zhKZvw\u0026dialogCs=gLb97jFq4Asj5UZI3-lY8CwCesHQyB-RWhjJV1aqnI41RNPh7ROQpDtu1bGF5RlXXqR-mb-aBweJtBgnvQF8gw',{title:'Historie',h:'auto',w:'720',mxw:'960',modal:true,dialog:null,dlgCls:'t-Dialog-page--standard '+''},'','#R1_PRODUCTS')""><i class=""fa fa-archive""></i></a>";21.01.2026 15:17
