Kd.Nummer;SAP-Nr.;Ort;AMS;Prio;IP-Tabelle bereinigt;CheckMK erledigt;Verträge erledigt;CMDB erledigt;Mapping D1 / CMDB ereldigt;D1 Mapping Ok;Abgeschlossen;Abgeschlossen am
2140;3022664;Berlin;ja;10;nein;ja;ja;ja;nein;nicht ok (260);ja;
2161;2002680;Kaiserslautern;ja;10;nein;ja;ja;ja;ja;nicht ok (92);ja;
2393;3031256;Lampertheim;nein;10;nein;n/a;n/a;n/a;n/a;;ja;
2455;3030741;Berlin;ja;10;nein;?;ja;ja;ja;;ja;15.09.2021
2461;3016258;Iserlohn;ja;10;nein;?;ja;ja;ja;;ja;
2513;2002556;Augsburg;ja;10;nein;ja;nein;ja;nein;nicht ok (236);ja;
2532;3031637;Bad Wilsnack;ja;10;nein;ja;nein;ja;nein;nicht ok (275);ja;
2533;3030924;Heilbronn;ja;10;nein;ja;ja;ja;ja;nicht ok (7);ja;15.09.2021
2555;3031114;Frankfurt Am Main;ja;10;nein;ja;nein;ja;nein;nicht ok (752);ja;
2632;2002922;Lüneburg;ja;10;nein;?;ja;ja;ja;;ja;15.09.2021
2672;3030866;Köln;ja;10;nein;nein;nein;nein;nein;nicht ok (861);nein;
6263;2001663;St. Gallen;nein;10;nein;n/a;n/a;n/a;n/a;nicht ok (1);ja;
9346;3009997;Lübeck;ja;10;nein;ja;ja;ja;nein;nicht ok (55);ja;
2043;2003622;Hannover;ja;4;nein;ja;ja;ja;nein;nicht ok (66);ja;15.09.2021
2324;3030594;Stade;nein;4;nein;n/a;n/a;n/a;n/a;;ja;
2336;2002311;Fürth;ja;4;nein;ja;ja;ja;ja;nicht ok (39);ja;
2345;3030895;Rheine;ja;4;ja;ja;ja;ja;ja;nicht ok (29);ja;
2351;3031056;Notzingen;ja;4;nein;ja;nein;ja;nein;nicht ok (46);ja;
2373;2003302;Frankfurt Am Main;ja;4;nein;ja;ja;ja;ja;nicht ok (50);ja;
2392;2002281;Emmendingen;ja;4;nein;ja;ja;ja;ja;nicht ok (6);ja;
2517;2002248;Duisburg;ja;4;nein;ja;ja;ja;ja;nicht ok (82);ja;
2705;3008736;Köln-Porz;ja;4;nein;ja;ja;ja;ja;nicht ok (33);ja;
2934;3057957;Bad Säckingen;ja;4;nein;ja;ja;ja;ja;nicht ok (3);ja;
6119;3084040;St Pölten;ja;4;nein;ja;ja;ja;ja;nicht ok (430);ja;
6514;3011877;Lilienfeld;ja;4;nein;ja;ja;ja;ja;nicht ok (22);ja;
9114;3030885;Darmstadt;ja;4;nein;ja;ja;ja;ja;nicht ok (50);ja;
9700;2001406;Zollikerberg;ja;4;nein;ja;ja;ja;ja;nicht ok (8);ja;
2061;3030981;Freudenstadt;ja;3;ja;ja;ja;ja;ja;nicht ok (78);ja;02.07.2021
2112;3016655;Kiedrich;nein;3;ja;n/a;n/a;n/a;n/a;;ja;21.04.2022
2240;3031151;München;ja;3;nein;ja;ja;ja;ja;nicht ok (32);ja;
2250;3031005;Trier;ja;3;nein;nein;nein;nein;nein;nicht ok (165);nein;
2407;3030897;Osnabrück;ja;3;nein;?;ja;nein;ja;nicht ok (10);nein;
2414;2002812;Bonn;ja;3;nein;ja;ja;ja;ja;nicht ok (2);ja;
2448;3030923;Gammertingen;ja;3;nein;ja;ja;ja;ja;nicht ok (10);ja;
2516;3030925;Pforzheim;ja;3;nein;ja;ja;ja;ja;nicht ok (11);ja;
2985;3060451;Köln;nein;3;nein;n/a;n/a;n/a;n/a;;ja;
6205;3030657;Rheinfelden;ja;3;nein;ja;ja;ja;ja;nicht ok (11);ja;
9171;2002764;Rüdesheim Am Rhein;nein;3;nein;n/a;n/a;n/a;n/a;;ja;
2009;2002285;Mönchengladbach;ja;2;nein;ja;ja;nein;ja;nicht ok (3);nein;
2063;3030875;Mainz;ja;2;nein;ja;ja;ja;ja;nicht ok (15);ja;
2074;3009087;Deggendorf;ja;2;nein;ja;ja;ja;ja;nicht ok (24);ja;16.09.2021
2303;2002269;Winnenden;nein;2;nein;n/a;n/a;n/a;n/a;ok;ja;
2305;3031241;Bad Mergentheim;ja;2;nein;ja;ja;ja;ja;nicht ok (11);ja;
2314;3065121;Solingen;ja;2;nein;ja;ja;ja;ja;nicht ok (35);ja;
2317;3043285;Lörrach;nein;2;nein;n/a;n/a;n/a;n/a;;ja;16.09.2021
2318;3031121;Freiburg Im Breisgau;nein;2;nein;n/a;n/a;n/a;n/a;;ja;
2344;3031401;Ehingen;ja;2;nein;ja;ja;ja;ja;nicht ok (41);ja;
2494;3010492;Bad Endbach;ja;2;nein;ja;ja;ja;ja;nicht ok (13);ja;
2562;3031027;Bad Nauheim;ja;2;nein;ja;nein;ja;nein;nicht ok (122);ja;
2568;3031400;Ulm;nein;2;nein;n/a;n/a;n/a;n/a;;nein;
2688;3031132;Villingen-Schwenningen;ja;2;nein;ja;ja;ja;ja;nicht ok (39);ja;
2807;3035275;Hamm;ja;2;nein;ja;ja;ja;ja;nicht ok (3);ja;
2844;3031282;Göppingen;ja;2;nein;ja;ja;ja;ja;nicht ok (38);ja;
4050;3030840;Duisburg;nein;2;nein;n/a;n/a;n/a;n/a;;ja;
4150;3030747;Bochum;ja;2;nein;nein;ja;ja;ja;nicht ok (43);ja;
4301;3086918;Garmisch-Partenkirchen;ja;2;nein;ja;ja;ja;ja;nicht ok (28);ja;
5050;3094051;Karlsruhe;ja;2;nein;ja;ja;ja;ja;nicht ok (34);ja;
6244;3030553;Herisau;ja;2;nein;ja;ja;ja;ja;nicht ok (19);ja;
6259;3030540;Liestal;ja;2;nein;ja;ja;ja;ja;nicht ok (10);ja;
6684;3030539;Bern;ja;2;nein;ja;ja;nein;ja;nicht ok (20);ja;
9150;2002313;Lüdenscheid;ja;2;nein;ja;ja;ja;ja;nicht ok (108);ja;
2034;3030714;Wetzlar;ja;1;nein;?;ja;ja;ja;nicht ok (8);nein;
2055;3008429;Wolfsburg;ja;1;nein;ja;ja;ja;ja;nicht ok (29);ja;
2056;3009330;Nürnberg;nein;1;nein;n/a;n/a;n/a;n/a;ok;nein;
2064;2002358;Offenbach;ja;1;nein;ja;ja;ja;ja;nicht ok (2);ja;
2070;3030750;Münster;ja;1;nein;ja;ja;ja;ja;nicht ok (9);nein;
2079;3031175;Roth;ja;1;nein;ja;ja;ja;ja;nicht ok (66);ja;
2131;3031229;Oberammergau;ja;1;nein;ja;ja;ja;ja;nicht ok (23);ja;
2132;3031228;Isny-Neutrauchburg;ja;1;nein;ja;ja;ja;ja;nicht ok (19);nein;
2316;3003024;Braunschweig;ja;1;nein;ja;ja;ja;ja;nicht ok (2);ja;
2340;3031264;Winnenden;ja;1;nein;nein;ja;nein;nein;nicht ok (103);nein;
2356;2002772;Aschau Im Chiemgau;ja;1;nein;ja;ja;ja;ja;nicht ok (29);ja;
2381;3010102;Celle;ja;1;nein;ja;ja;ja;ja;nicht ok (52);ja;
2436;3030978;Rottenburg Am Neckar;ja;1;nein;ja;ja;ja;ja;nicht ok (33);ja;
2470;3030721;Neuss;ja;1;nein;ja;ja;ja;ja;nicht ok (47);ja;
2484;2003254;Magdeburg;ja;1;nein;nein;ja;nein;ja;nicht ok (5);nein;
2490;3030749;Wesel;ja;1;nein;ja;ja;ja;ja;nicht ok (41);ja;
2527;3001319;Waldshut-Tiengen;ja;1;ja;ja;ja;nein;ja;nicht ok (28);nein;
