Kunde;Kundename (SAP-Nr.);;Kundenprojekt;Umgebung;Status Installation;OK;Fehler;VM konfiguriert;Funktionen;ASSM-Ticket;VM-Hostname;VM-IP-Addresse;DB-SID;Erstellt;Erstellt von;Aktualisiert;Aktualisiert von;OUC-ID
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);75400631;Saarbrücken IRIS OASe + Docker;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Security,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;sb-lxorbisu-01;10.20.5.100;KHVS;2021.10;Ralf-georg Schein;2025.11;Bernd Tscherner;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);94344418;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS ePA;;io-lxorbisu-01;10.20.5.101;KHVI;2022.02;Daniel Jänke;2025.05;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);94344416;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,DRGW-MDKM Simulation,IRIS Tracing,MDKM LE Portal,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege Regeleditor,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;vk-lxorbisu-01;10.20.5.103;KHVV;2022.02;Daniel Jänke;2025.06;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);94344414;ORBIS U Installation;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;DEMIS Arztmeldung,DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Frame Mobile,ORBIS U Kafka,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Schnittstelle Imprivata,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;mzg-lxorbisu-01;10.20.5.102;KHVM;2022.02;Daniel Jänke;2025.10;Jacquelin Schön;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182022;Saarbrücken IRIS OASe + Docker;3. Test;Docker-Container installiert;ja;keine Fehler;;DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Speech Spracherkennung,ORBIS Touch ID,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Security,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;sb-orbisut-01;10.20.5.104;TSTS;2022.04;Daniel Jänke;2025.06;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182025;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DRGW-MDKM Simulation,IRIS Tracing,MDKM LE Portal,ORBIS Touch ID,ORBIS U Allergies,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;vk-orbisut-01;10.20.5.107;TSTV;2022.04;Daniel Jänke;2025.06;Henrik Schütz;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182024;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;DRGW-MDKM Simulation,MDKM LE Portal,ORBIS Patientenkurve - PDF-Exportmanager (Business Continuity),ORBIS U Allergies,ORBIS U Frame Mobile,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Schnittstelle Imprivata,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS Unit Dose Automat Schnittstelle,ORBIS User Provisioning,ORBIS ePA;;mzg-orbisut-01;10.20.5.106;TSTM;2022.04;Daniel Jänke;2025.10;Jacquelin Schön;92148727
1006 Saarbrücken (NonAMS);SHG-Kliniken Sonnenberg (3031036);96182023;ORBIS U Installation;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS MedCo,ORBIS Touch ID,ORBIS U Assessment Konfigurator,ORBIS U Frame Mobile,ORBIS U Krankengeschichte,ORBIS U Pflege Assessments,ORBIS U Pflege Care Cycle,ORBIS U Pflege epaAC V2.x & epaKIDS V2.x & epaPSYC 1.x,ORBIS U Pflegemaßnahmen,ORBIS U Security,ORBIS U Wundmanagement,ORBIS U Zugangsmanagement,ORBIS User Provisioning,ORBIS ePA;;io-orbisut-01;10.20.5.105;TSTI;2022.04;Daniel Jänke;2025.05;Henrik Schütz;92148727
1013 Köln (NonAMS);Augustinerinnen Krankenhäuser gGmbH (2002546);125528428;Installation ORBIS U KHV+Test inkl. BELMEL;1. Produktiv;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;augorbisukhv;192.168.16.14;KHV;2023.05;Marcel Hering;2023.10;Adrian Schmidt;92148660
1013 Köln (NonAMS);Augustinerinnen Krankenhäuser gGmbH (2002546);125528429;Installation ORBIS U KHV+Test inkl. BELMEL;3. Test;Docker-Container installiert;ja;keine Fehler;;ORBIS ePA;;augorbisutest;192.168.16.15;TEST;2023.05;Marcel Hering;2023.10;Adrian Schmidt;92148660
